X,A* DH=6,A* cache ES
1010,4133.0,3712.0
1011,4138.0,3716.0
1012,4146.0,3722.0
1013,4157.0,3722.0
1014,4158.0,3724.0
1015,4171.0,3725.0
1016,4183.0,3736.0
1017,4213.0,3742.0
1018,4224.0,3754.0
1019,4232.0,3756.0
1020,4254.0,3791.0
1021,4254.0,3791.0
1022,4282.0,3824.0
1023,4285.0,3875.0
1024,4286.0,3896.0
1025,4297.0,3927.0
1026,4298.0,3947.0
1027,4334.0,4010.0
1028,4351.0,4021.0
1029,4357.0,4025.0
1030,4360.0,4028.0
1031,4380.0,4030.0
1032,4385.0,4061.0
1033,4397.0,4075.0
1034,4404.0,4087.0
1035,4410.0,4098.0
1036,4413.0,4135.0
1037,4418.0,4146.0
1038,4424.0,4165.0
1039,4457.0,4171.0
1040,4463.0,4183.0
1041,4467.0,4198.0
1042,4472.0,4215.0
1043,4482.0,4222.0
1044,4486.0,4234.0
1045,4490.0,4255.0
1046,4501.0,4279.0
1047,4543.0,4339.0
1048,4552.0,4370.0
1049,4576.0,4380.0
1050,4580.0,4383.0
1051,4589.0,4386.0
1052,4614.0,4397.0
1053,4633.0,4441.0
1054,4646.0,4470.0
1055,4654.0,4479.0
1056,4654.0,4494.0
1057,4670.0,4497.0
1058,4689.0,4498.0
1059,4690.0,4504.0
1060,4698.0,4516.0
1061,4698.0,4518.0
1062,4700.0,4520.0
1063,4718.0,4531.0
1064,4774.0,4540.0
1065,4775.0,4562.0
1066,4785.0,4596.0
1067,4792.0,4602.0
1068,4818.0,4619.0
1069,4823.0,4624.0
1070,4831.0,4624.0
1071,4835.0,4653.0
1072,4838.0,4657.0
1073,4850.0,4666.0
1074,4855.0,4667.0
1075,4879.0,4680.0
1076,4902.0,4680.0
1077,4910.0,4681.0
1078,4926.0,4715.0
1079,4944.0,4748.0
1080,5001.0,4750.0
1081,5024.0,4761.0
1082,5049.0,4810.0
1083,5079.0,4843.0
1084,5101.0,4874.0
1085,5117.0,4889.0
1086,5124.0,4899.0
1087,5126.0,4909.0
1088,5150.0,4934.0
1089,5159.0,4945.0
1090,5164.0,4966.0
1091,5175.0,4966.0
1092,5203.0,4994.0
1093,5248.0,4998.0
1094,5264.0,5048.0
1095,5275.0,5071.0
1096,5279.0,5074.0
1097,5284.0,5075.0
1098,5310.0,5086.0
1099,5311.0,5103.0
1100,5315.0,5108.0
1101,5357.0,5116.0
1102,5358.0,5152.0
1103,5360.0,5202.0
1104,5364.0,5238.0
